Day,Task,EstimatedCost,ActualCost,Done,DateCompleted,Notes
Day 1,Confirm jurisdiction in Clark County Jurisdiction Locator; save screenshot/PDF proof,0.00,,No,,
Day 1,Create business contact plan: choose phone provider + email provider,0.00,,No,,
Day 2,Reserve final LLC name and create SilverFlume account,0.00,,No,,
Day 2,"Draft LLC filing details (registered agent, address, member/manager)",0.00,,No,,
Day 3,Submit Nevada LLC filing package (Articles + Initial List + State License),435.63,,No,,
Day 4,Apply for EIN on IRS portal and store confirmation,0.00,,No,,
Day 4,File FFN/DBA only if legal LLC name differs from public brand,25.00,,No,,
Day 5,Prepare local license application details (business activity description),0.00,,No,,
Day 6,Submit Clark County local business license application,195.00,,No,,
Day 7,"Set up business email on gamblingexcellence.com (info@, support@)",8.40,,No,,
Day 7,Set up dedicated business phone number and voicemail,10.00,,No,,
Day 8,Create Cloudflare account and connect domain DNS,0.00,,No,,
Day 9,"Publish website shell: Home, Products, Pricing, About, Contact",0.00,,No,,
Day 10,"Publish Terms, Privacy, Disclaimer, Responsible Gambling pages",0.00,,No,,
Day 11,Create Stripe account and first payment links,0.00,,No,,
Day 12,Add first 3 product pages and checkout buttons,0.00,,No,,
Day 13,Soft launch beta to small audience; collect feedback,50.00,,No,,
Day 14,"Review results, update pricing/offers, plan next sprint",0.00,,No,,
